,filename,turn,utterance,low_similarity,important
0,PP96.txt,1,A: こんにちは。最近はどんなことして過ごしていましたか？,0,0
0,PP96.txt,2,B: 実は最近会社を興しましてね。探偵業をやってるんです。,0,1
0,PP96.txt,3,A: 探偵？それは珍しいお仕事を、しかもご自分で興されたなんて！なかなか大変なお仕事じゃありませんか？,0,1
0,PP96.txt,4,B: ははは。探偵と言っても多い仕事は迷子になったペット探しなんですよ。わたしも犬を飼っているので他人事とは思えなくて。,1,0
0,PP96.txt,5,A: 犬の気持ちが分かって、すぐに発見してもらえそうで心強いですよ！私もウサギを飼っているのですが、万が一迷子になった時はぜひ一緒に探してください。,1,0
0,PP96.txt,6,B: はい、お任せください！そういえば、あなたはどんなお仕事をされていましたっけ？,0,0
0,PP96.txt,7,A: 家政婦を長くやっています。昔から家事が大好きでして。,0,0
0,PP96.txt,8,B: 家政婦ですか！家政婦というとどうしてもドラマのようなイメージをしてしまいますが、実際はいかがですか？,0,0
0,PP96.txt,9,A: 家政婦は見た…ですね！探偵気分を味わえそうなんですけど、実際はなかなかそういった機会にはめぐまれません。,0,0
0,PP96.txt,10,B: そうなんですね！ドラマと現実が違うという点では家政婦も探偵も同じですね。,0,0
0,PP96.txt,11,A: うふふ、ほんとうに。でも人の役に立てるという意味ではやりがいのある仕事ですし、お互い頑張りましょうね。,0,0
0,PP96.txt,12,B: そうですね！がんばりましょう！,0,0
