,filename,turn,utterance,low_similarity,important
0,PP79.txt,1,A: あのね、聞いて！ずーっと夢だったテレビ業界に潜り込むことに成功したんだ！,0,1
0,PP79.txt,2,B: 潜り込むって。でもよかったじゃない！おめでとう！実はわたしも夢が叶ったの！,0,0
0,PP79.txt,3,A: え、なになに？どんな夢？,0,0
0,PP79.txt,4,B: わたし昔からアニメオタクだったけどそれを仕事にできるんだ！ゲーム制作会社に就職が決まったんだ！,0,1
0,PP79.txt,5,A: わお、すごいじゃん！努力したんだろうね！,0,0
0,PP79.txt,6,B: 好きだから努力っていう風には思わないけどでも頑張ったかな。あなたも家族の方喜んだでしょう？,0,0
0,PP79.txt,7,A: うん、妹から就職祝いにスーツもらっちゃった。うちの妹はアニメ好きだから、なんだか、あなたにシンパシーを感じるわ！,0,0
0,PP79.txt,8,B: いい妹さんだね！わたしも一人っ子だから両親が大喜びでさ。,0,0
0,PP79.txt,9,A: そりゃ、そうでしょう！就職の次に、ご両親が喜ぶことと言ったら、結婚して孫の顔を見せることかな？,0,0
0,PP79.txt,10,B: うーんそれはもう少し先になりそうだな。あなたは？,0,0
0,PP79.txt,11,A: わたしなんて、永遠に現実にはならないかも。浅黒い肌じゃ、嫁にもらってもらえなくて、多分ずっと独身貴族だからねー！,0,0
0,PP79.txt,12,B: そんなことないよ。そういうの好きな人もいると思うけどな。,0,0
0,PP79.txt,13,A: ありがとう！お互い、就職の次は素敵な出会いがあるといいね！,0,0
