,filename,turn,utterance,low_similarity,important
0,PP91.txt,1,A: こんにちは。お元気でしたか？,0,0
0,PP91.txt,2,B: ええ、変わりなく元気ですよ！最近ウニのおいしさに気付きまして。たまの楽しみにしています。,0,1
0,PP91.txt,3,A: ウニですか！豪華ですね。海鮮がお好きなんですか？,0,0
0,PP91.txt,4,B: ええ、大好物です！牡蠣だけは苦手なんですが…。あなたはなにかお好きな食べ物ありますか？,1,0
0,PP91.txt,5,A: そうですね。実は最近夫と死別しまして。なかなか食事が喉を通らないんですよ。あ、暗い話でごめんなさいね。,1,1
0,PP91.txt,6,B: いえいえ、それは大変でしたね。どうかあまり気を落とさないでください。,0,0
0,PP91.txt,7,A: ありがとうございます。子どもが1人いるんですが、心の支えになってくれて助かってますよ。,0,0
0,PP91.txt,8,B: そうなんですね！よかったら今度気晴らしに海にでも行きませんか。わたしはサーフィンが得意なので、よく海に行くんですよ。,0,0
0,PP91.txt,9,A: サーフィンですか！素敵ですね！実は昔バスケットボール部だったので運動神経には自信があるんですよ。,0,0
0,PP91.txt,10,B: じゃあぜひ、いつかご一緒しましょう！実は海上保安官なので、海での安全はお任せください！,0,0
0,PP91.txt,11,A: 海上保安官！とても立派なお仕事ですね。頼もしいです！,0,0
0,PP91.txt,12,B: 宮城の沿岸部生まれで、海とは縁があるようですよ。ぜひ、頼ってください！,0,0
