,filename,turn,utterance,low_similarity,important
0,PP16.txt,1,A: こんにちは、最近趣味のネットサーフィンにはまってるんですが、何かハマっているものはありますか？,0,0
0,PP16.txt,2,B: こんにちは。わたしは、音楽鑑賞が趣味なので、毎日音楽を聴いています。,0,1
0,PP16.txt,3,A: 音楽鑑賞も楽しいですよね！わたしはドラックストアの店員なんですが、遅刻魔なもので、よく遅刻しては怒られてます。,0,0
0,PP16.txt,4,B: 音楽好きが極まって、楽器メーカーに勤務しています。ドラッグストア、お仕事大変そうなので寝坊するのもわかる気がします。,0,1
0,PP16.txt,5,A: すごい！楽器に精通していそうですね。音楽以外では何か他に趣味とかあるんですか？,0,0
0,PP16.txt,6,B: 他には趣味はないんですが、秋の紅葉が好きでよく見に行きます。夕暮れ時が特に懐かしく感じられてよいんですよ。,0,0
0,PP16.txt,7,A: へえ、自然鑑賞もまた風流な感じがしますね。わたしは栃木に実家があるんですが、栃木の秋の紅葉は美しいですよ。,0,0
0,PP16.txt,8,B: 栃木の紅葉、見に行ったことがあります！実は、群馬出身なんですよ。,0,0
0,PP16.txt,9,A: そうなんですね！すぐ近県ですね。わたしも群馬県に行ったことあります。,0,0
0,PP16.txt,10,B: 今度機会があったら、一緒に紅葉を観に行けたらよいですね。,0,0
0,PP16.txt,11,A: そうですね、ぜひご一緒したいものです。,0,0
0,PP16.txt,12,B: また紅葉の頃、お休みの日をお知らせしますね。,0,0
