,filename,turn,utterance,low_similarity,important
0,PP49.txt,1,A: ちょっと、聞いて！いまの派遣先に、超タバコ臭い人がいるの！,0,1
0,PP49.txt,2,B: それはやだなー。わたし香水の匂いが苦手だけどタバコも苦手。,0,0
0,PP49.txt,3,A: 同じ同じ！でもさ、わたし、派遣だからあまり強いこと言えないしさあ。,0,0
0,PP49.txt,4,B: そっか。わたしは専業主婦だからあまり共感してあげられないけど愚痴ならいくらでも聞くよ！,0,0
0,PP49.txt,5,A: ありがとー！あとね、なんかすっごいギスギスした職場で、みんなライバル意識むき出しで、超怖いのー！,1,1
0,PP49.txt,6,B: それは怖い！そんなところでよく働いてるね。偉いよ。,1,0
0,PP49.txt,7,A: でしょー。わたしは鳩派で平和主義だから、遠くから眺めてるだけなんだけどね。そういえば、あなた、最近、趣味とかやってる？,0,0
0,PP49.txt,8,B: そういうの鳩派っていうんだ。趣味は全然できてない。わたし手が小さいから細かい作業が好きだったんだけど最近肩こりがひどくて。あなたはやってる？,0,0
0,PP49.txt,9,A: 肩こりが酷いのは一緒！わたしの場合は絵を描いてるんだけど、つい没頭しちゃうんだ！,0,0
0,PP49.txt,10,B: 素敵な趣味よね。今は何描いてるの？,0,0
0,PP49.txt,11,A: デッサンばっかだよ。最近なんて、モデルは自分しかいないから、結構、指が長いなあなんて思いながら、自分の指を描いたりしてる。,0,0
0,PP49.txt,12,B: よかったら今度わたしの小さい手をモデルにしてくれてもいいわよ。,0,0
0,PP49.txt,13,A: それ、いいね！対比の美ってやつを表現してみるよ。,0,0
