,filename,turn,utterance,low_similarity,important
0,PP34.txt,1,A: 最近雨が多いですね。,0,0
0,PP34.txt,2,B: ほんとにね！建設現場で肉体労働してるので、雨が続くと仕事がおじゃんですよ。,0,1
0,PP34.txt,3,A: 大変ですね。わたしは農家をしてるのでたまになら嬉しいんですがこうも続くと作物に影響が出ちゃいますよ。,0,1
0,PP34.txt,4,B: ああ、農家さんでしたか。お互い、お天道様のご機嫌と収入が連動してて辛いですなあ。,1,0
0,PP34.txt,5,A: 本当に。仕事にならない日はどう過ごしてらっしゃるんですか？,1,0
0,PP34.txt,6,B: よくアニメを見てますよ。まとまった休みがとれたら、聖地巡礼ってやつをするのが楽しくてね。あなたは？,0,0
0,PP34.txt,7,A: わたしは古本屋が好きでこんな雨の日はよく本屋へ行きます。,0,0
0,PP34.txt,8,B: ほほう。雨の日に本屋に行くと、なにか良いことがあるんですか？,0,0
0,PP34.txt,9,A: 本屋の匂いを懐かしく感じながらゆっくりと流れる時間を過ごすんです。あなたはアニメ以外に好きなものとかあるんですか？,0,0
0,PP34.txt,10,B: そうですねえ。バイクに乗ってツーリングに出かけるのも結構好きです。目的地を決めず、マイペースに寄り道しながらが楽しいんですよ。,0,0
0,PP34.txt,11,A: ツーリングとはかっこいいですし何よりかっこいいですね！わたしは有明湾の近くに住んでるので、お近くに来られた際はぜひ立ち寄ってください。,0,0
0,PP34.txt,12,B: おお、有明湾ですか！ぜひ行ってみたいと思います。,0,0
