,filename,turn,utterance,low_similarity,important
0,PP48.txt,1,A: 年末年始の寒波は本当に寒くて大変でしたね。,0,1
0,PP48.txt,2,B: ほんとですねー。わたし、派遣で勤めてるんで、雪で遅刻とかしたら、クビ切られるんじゃないかとヒヤヒヤしました。,0,1
0,PP48.txt,3,A: わたしは東北地方に住んでるので雪かきが本当に大変でした。用がなければずっと家にいたので太らないよう気をつけていたらむしろ痩せてしまって。ウエストが細くなったんです。,0,0
0,PP48.txt,4,B: それは羨ましいわ！わたしが人に自慢できることろと言ったら、そうねえ、、、指が人より少し長いことぐらいかしら。,0,0
0,PP48.txt,5,A: 手が綺麗に見えるから指輪とか似合っていいじゃない！,0,0
0,PP48.txt,6,B: あら、でも、そんなすごくってほどでもないんですよ。あの、わたし、人と比べたり争ったりするのが苦手なんで、こういう話は実は苦手なんです。,0,0
0,PP48.txt,7,A: わかる気がします。わたしは人の悪口が苦手なので誰かと比べてあーだこーだ言っているのを聞くの嫌なんですよね。,0,0
0,PP48.txt,8,B: ああ、分かります。なんで人って、他の人が気になるんでしょうね。わたしなんて、絵を描く対象としてしか気にならないのに。,0,0
0,PP48.txt,9,A: 絵を描かれるんですね？素敵ですね。わたしも会社員として働いている時以外はあまり他の人に興味ないんですよね。今度あなたの絵を見せてくれませんか？,0,0
0,PP48.txt,10,B: まあ、そんなこと言ってくれる人、初めて。嬉しいな、もちろん良いですよ。なんか、あなたとなら、良いお友達になれそうな気がします。,0,0
0,PP48.txt,11,A: わたしもそう思います。わたし熊本県が好きなんですけど、今度熊本県をイメージした絵を描いていただけませんか？,0,0
0,PP48.txt,12,B: はい、喜んで！絵の感想を聞くのが楽しみだわ。,0,0
