,filename,turn,utterance,low_similarity,important
0,PP3.txt,1,A: こんにちは。わたし、よく怒りっぽいって言われるんですけど、今日は冷静に話すように頑張りますね。,0,1
0,PP3.txt,2,B: こんにちは、よろしくお願い致します。,0,0
0,PP3.txt,3,A: わたしはダンスが得意です。あなたは？,0,0
0,PP3.txt,4,B: 得意なものはありませんが顔の彫りが深いです。,0,0
0,PP3.txt,5,A: 確かに、顔の彫りは深いですね。以前、沖縄に住んでいたことがあるのですが、同じような彫りの深い方が多かったです。,0,0
0,PP3.txt,6,B: わたしは沖縄とは関係なく外国で生まれました。今日のような寒い冬の日です。,0,0
0,PP3.txt,7,A: そうだったんですか。わたしは今は海のそばに住んでいるんですが、寒い冬は海のそばはきついです。,0,0
0,PP3.txt,8,B: わたしには海沿いに住んでる兄がいるのですが冬の海は寒いとおっしゃていましたね。,0,0
0,PP3.txt,9,A: やっぱりそうなんですね。ところで、話かわりますが、尊敬している人っていますか？わたしは母親です。,0,0
0,PP3.txt,10,B: わたしも母親を尊敬しています。ここまで育ててくれた恩は忘れません。,0,1
0,PP3.txt,11,A: そうですよね。わたしは怒りっぽいので、ほかの子よりも苦労をかけたでしょうし。恩がありますよね。,0,0
0,PP3.txt,12,B: はい、親は掛け替えのないものですね。,0,0
