,filename,turn,utterance,low_similarity,important
0,PP9.txt,1,A: こんにちは。お元気ですか？,0,0
0,PP9.txt,2,B: あまり元気とは言いかねますね。妻と離婚したばかりなので。,0,1
0,PP9.txt,3,A: そうなんですね。それはお辛いですね。,0,0
0,PP9.txt,4,B: 定年退職したら、妻に離婚届を突き付けられてね、がっくりですよ。,0,0
0,PP9.txt,5,A: 晩年離婚、増えてますよね。お気の毒です。私も結婚していて今、産休中なんですが夫とあまりうまくいっていません。,0,0
0,PP9.txt,6,B: おやおや、でもお子さんができるとまた変わるかもしれませんよ。うちは子どもがいませんでしたからね。,0,0
0,PP9.txt,7,A: そうだとよいのですが。私は外国語が趣味なので、語学を学んで気分転換しています。,0,0
0,PP9.txt,8,B: いいですね。わたしは釣りが好きなので、これからは釣り三昧で行こうと思ってます。,1,0
0,PP9.txt,9,A: そうですね。好きなことをして過ごすことで、気持ちも段々晴れてくると思います。,1,1
0,PP9.txt,10,B: ああ、なんだか気分が軽くなりました。ありがとうございました。,1,0
0,PP9.txt,11,A: 良かったです。お互いに元気でいられたら良いですね。,1,0
0,PP9.txt,12,B: まったくですね。安産をお祈りしますよ。,0,0
0,PP9.txt,13,A: ありがとうございます。,0,0
