,filename,turn,utterance,low_similarity,important
0,PP39.txt,1,A: こんにちは。最近どうされてますか？嫌なこととかなかったですか？,0,0
0,PP39.txt,2,B: 元気にしてましたよ。嫌なことといえば狭い場所が苦手なのにたいていトイレの個室が狭いことに毎回嫌気がさします。あなたは何かあったんですか？,0,1
0,PP39.txt,3,A: わたしはいつもどおり、セラピストの仕事に明け暮れてますよ。でも、個室の狭さが気になるとは、ちょっと気持ち的に追い詰められてます？,0,0
0,PP39.txt,4,B: セラピストのお仕事も大変みたいですね。追い詰められている自覚はないですけどね。もう慣れましたし。なんだかカンセリングしてるみたい。,0,0
0,PP39.txt,5,A: あら、それはごめんなさい！わたしのことを聞き上手なんて言ってくれる人もいますけど、セラピーでもないのに、こういう態度は失礼ですよね。,0,0
0,PP39.txt,6,B: 失礼ではないですよ。わたしはどちらかというと大らかだという人が周りに多いくらいなのであまり気にはしてなかったですよ。ただ珍しくて。,0,0
0,PP39.txt,7,A: 大らかなのはとっても良いことですね。わたしはちょっと神経質なところもあって、スタイルを維持するのに必死なんですよ。,0,1
0,PP39.txt,8,B: 確かにあなたのスタイルを維持するには努力がいりそうですね。わたしは田舎に住んでいるので見た目をあまり気にすることがないので尊敬します。,0,0
0,PP39.txt,9,A: 尊敬だなんて、滅相もない。食べ歩きが趣味なんで、いつも食べすぎ気味なんですから！,0,0
0,PP39.txt,10,B: それでそのスタイルを維持してるんですね！やっぱりすごい！,1,0
0,PP39.txt,11,A: 照れますねえ。あ、コーヒーでも飲みます？猫舌のわたし用に、ちょっと冷めちゃってますけど。,1,0
0,PP39.txt,12,B: お気持ちだけ頂いておきます。,0,0
