,filename,turn,utterance,low_similarity,important
0,PP86.txt,1,A: こんにちわ。良いお天気ですね。どちらへ？,0,0
0,PP86.txt,2,B: 今から、勤め先のレストランに出勤するところです。あなたは？,0,0
0,PP86.txt,3,A: あ、レストランで働いていたんですか。道理で服から良い匂いがすると思いましたよ。私も出勤です。鼻が人よりも効くので芳香剤のメーカーで働いています。,0,1
0,PP86.txt,4,B: あ、匂いしますー？わたしの勤め先って、チャイニーズレストランだから、ごま油の匂いかな？,0,0
0,PP86.txt,5,A: ええそう、良い匂いなんですよね。反対に独特の匂いの食材ってあるじゃないですか。くさやとか。あれは辛いですね。そもそも食べられないです。,0,0
0,PP86.txt,6,B: あー、くさやはわたしもNGです！わたしはまだ見習いシェフなんですが、今度、うちのレストランに来ませんか？,0,0
0,PP86.txt,7,A: あ、是非行きたい！　中華は好きなんですよ。でもご迷惑はないですか？,0,0
0,PP86.txt,8,B: 全然！ウエルカムですよー！わたしの得意料理チャーハンを是非召し上がってください！,0,1
0,PP86.txt,9,A: どうしたらああいう風にパラっと出来るんだろう？　真似しようとして真似できないんですよねえ。,0,0
0,PP86.txt,10,B: あれはコツだけでなく、練習が必要なんですよ。料理は何事も練習練習！あなたは料理をやる方なんですか？,0,0
0,PP86.txt,11,A: 結構する方で、お菓子とか良く作っていました。亡くなった祖母ちゃんが好きだったので。そのせいか線香やマッチの残り香が懐かしく感じる事があるんですよ。,0,0
0,PP86.txt,12,B: ああ、分かります！あれって、何だかホッとする匂いですよね！,0,0
