,filename,turn,utterance,low_similarity,important
0,PP78.txt,1,A: 初めまして。わたし新聞社に勤めるているものなんですが、いくつかお聞きしてもいいですか？,0,0
0,PP78.txt,2,B: はい！いいですよ。なんでしょう？,1,0
0,PP78.txt,3,A: ありがとうございます。では、DINKsってご存知ですか？,1,1
0,PP78.txt,4,B: ああ、あれですよね、子どもを持たない主義の夫婦！,0,0
0,PP78.txt,5,A: よくご存知ですね！そうです。共働きで子供を持つつもりのない夫婦のことなんですけど、これについての記事を書こうと思っていまして。実はわたしもそのDINKsなんですよね。,0,0
0,PP78.txt,6,B: そうなんですか！わたしは独身貴族なので、何かをいう権利はないと思いますが、既婚子持ちの妹からすると、ありえない！と怒られそうです。,0,0
0,PP78.txt,7,A: そういう意見も取り入れたいと思ってるので遠慮なく言ってください。わたしの話になるんですが、実はわたし離婚歴もあって。仕事に生きようと思っていたら今の夫に出会ったんです。,0,0
0,PP78.txt,8,B: おや、素敵な話じゃないですか。でも、子どもは持たないのは、理由があるんですか？,0,0
0,PP78.txt,9,A: どうしても出産するにあたって仕事を休まないといけなくなるじゃないですか？それがいやで。子供は嫌いじゃないんですけどね。,0,1
0,PP78.txt,10,B: ああ、それは男のわたしでも分かりますよ。わたしも忙しくて不規則な勤務で有名なテレビ業界で、長く働いてますから。,0,0
0,PP78.txt,11,A: そうですか。男性の意見も聞きたかったんです。,0,0
0,PP78.txt,12,B: テレビ業界ではそういう生き方の方も多いですし、DINKsは大いに賛成です！多様性があるのは素晴らしいことだと思います。,0,0
