,filename,turn,utterance,low_similarity,important
0,PP76.txt,1,A: はあ。わたしなで肩がコンプレックスでさ。あなたはある？コンプレックスとか。,0,0
0,PP76.txt,2,B: そうだなあ、コンプレックスとまでは言わないけど、子供っぽい顔があんまり好きじゃないよ。,0,0
0,PP76.txt,3,A: 歳を取らないってことだしむしろ羨ましいけどな！,0,0
0,PP76.txt,4,B: そうかなあ。でも、化粧品メーカーで、こんなわたしでも大人っぽく見えるメイク用品を開発してるの！,0,1
0,PP76.txt,5,A: それは素敵ね！同じ悩みを持ってる人もいるでしょうし！わたしは尊敬する松下幸之助に憧れて大手電機メーカーに勤めてるのよ。,0,0
0,PP76.txt,6,B: へえ、憧れてる人と同じ業界にいくって、よっぽどだよ。なにか電化製品は開発した？,0,0
0,PP76.txt,7,A: わたしは開発じゃなくて営業なの。あなたはストレス溜まることってない？,0,0
0,PP76.txt,8,B: ストレスはあんまりないよ。ただ、猫背がちょっと気になるかも。,0,0
0,PP76.txt,9,A: 猫背は直そうと思えば直せるから大丈夫だよ。わたしのなで肩は直しようがないからさ。,0,0
0,PP76.txt,10,B: なで肩って、しとやかっぽくて良いと思うよ。着物が似合いそう。,0,0
0,PP76.txt,11,A: そんな風に言われたのは初めてだなあ。ありがとう！なんだか元気になってきた。,0,1
0,PP76.txt,12,B: それなら良かった！わたしも、子供っぽい顔は年を取らないって、前向きに受け止めることにするよ。,0,0
