,filename,turn,utterance,low_similarity,important
0,PP17.txt,1,A: こんにちは。お元気ですか？,0,0
0,PP17.txt,2,B: こんにちは、最近出身の埼玉から東京に引っ越しました。,0,1
0,PP17.txt,3,A: そうなんですね。わたしは実家のある群馬に暮らしています。,0,0
0,PP17.txt,4,B: 地元は落ち着くし、道に迷わないので、安心ですよね。地図が読めず、方向音痴なので、いつもスマホ片手に出歩いでいます。,0,0
0,PP17.txt,5,A: そうなんですね。今は、スマホもとても便利ですよね。,0,0
0,PP17.txt,6,B: そうですね、わたしは東京で暮らしているものの、就活中なんですが、何をされている方なんですか？,0,0
0,PP17.txt,7,A: 就活、がんばってくださいね！わたしは音楽鑑賞が趣味なので、楽器メーカーで働いているんです。,0,1
0,PP17.txt,8,B: いいですね、わたしも音楽大好きです。群馬の暮らしは快適ですか？,0,0
0,PP17.txt,9,A: 音楽いいですよね。音楽の秋に生まれたので、母がよく音楽を胎教で聞かせてくれていたらしいです。群馬も、自然いっぱいでいいですよ。,0,0
0,PP17.txt,10,B: へえ、埼玉も東京に比べると自然がいっぱいありますが、夏生れの割に雷が苦手で、都会の方が雷が発生する率が少なくて安心しています。,0,0
0,PP17.txt,11,A: 住む地域によって、雷の発生具合も違うんですね！勉強になりました。,0,0
0,PP17.txt,12,B: 田舎の方が遮るものがない分、怖く感じるからかもしれません。,0,0
0,PP17.txt,13,A: なるほど、そういうことですね。,0,0
