,filename,turn,utterance,low_similarity,important
0,PP43.txt,1,A: 最悪ー！ちょっと聞いてよ、嫌なもの見ちゃった！,0,1
0,PP43.txt,2,B: どしたの？,0,0
0,PP43.txt,3,A: 中学校のクラスの子がさ、面白い映画あるよってDVD貸してくれたんだけど、ホラーだったの！見るんじゃなかった！,0,1
0,PP43.txt,4,B: ホラー大嫌いなのにかわいそう。わたしが趣味の筋トレで鍛えた体で一発お見舞いしてあげようか？,0,0
0,PP43.txt,5,A: して！わたし、お母さんと二人暮らしだから、基本的に暗くなるまで１人で留守番なの。だから暗い場所も、すっごく苦手なのにー！,0,0
0,PP43.txt,6,B: そんな時に限って思い出したりしちゃうのよね。わたしも苦いものが苦手だから大学時代罰ゲームで青汁飲んだ時は最悪だった。,0,0
0,PP43.txt,7,A: うわ！それ、最悪だね！やっぱり、今回のDVDも罰ゲームみたいだと思う？これってイジメ？,0,0
0,PP43.txt,8,B: いじめは言い過ぎかもしれないけどとりあえず今度その子達に合わせてよ。お灸を据えてあげなきゃ。,0,0
0,PP43.txt,9,A: うん、ありがとう。でもね、わたし、その子とそんなに親しいわけじゃないんだ。実を言うと、つい１周間前に知り合った子なの。,0,0
0,PP43.txt,10,B: 最近じゃない。もしかするとそのDVDもその子なりのお近づきの印だったのかも。今回はわたしの出る幕はなさそうだね。,0,0
0,PP43.txt,11,A: そうかも。１週間前に愛媛から転校してきて、初めてわたしに声をかけてくれた子なんだよ。,0,0
0,PP43.txt,12,B: それなら大事にしなくちゃ。,0,0
