,filename,turn,utterance,low_similarity,important
0,PP100.txt,1,A: 今英会話スクールに通っていて、今後スタイリストとして海外進出したいと思っています。あなたは何をされているんですか？,0,1
0,PP100.txt,2,B: 海外進出ですか！わたしなんて、北海道で生まれ育って、いつか一度でいいから東京で暮らしたいなーなんて夢見てたのが、ちっぽけに思えちゃいます。,0,0
0,PP100.txt,3,A: 地方から都会に出るのはなかなか大変なのはわたしも田舎出身なので分かります。今も地方から出てきて都内で一人暮らしをしていますよ。,0,0
0,PP100.txt,4,B: 都内に住んでるんですね！羨ましい。東京にいたら、やっぱり合コンとかも沢山あるんでしょう？,0,0
0,PP100.txt,5,A: そうですね、自分の趣味や価値観が合った人がたくさん見つかるかもしれませんね。わたしの場合、流行に敏感なんで、ファッションセンスのある人でないと合わないかもしれません。,0,0
0,PP100.txt,6,B: そうかあ。彼氏いない歴イコール年齢、みたいなわたしには、東京はハードルが高いのかもしれませんね。,0,0
0,PP100.txt,7,A: もし自信が持てないのであれば、まずは見た目から変えていくのがいいかもしれませんよね。センスが良いと人からよく言われるので、ぜひ見立てさせてください。,0,0
0,PP100.txt,8,B: わあ、ありがとう！普段、お年寄り相手の仕事なので、そういう華やかなことが出来るのがとっても嬉しいです。,0,0
0,PP100.txt,9,A: お年寄り相手のお仕事ってなにか福祉関連のお仕事ですか？,0,0
0,PP100.txt,10,B: ええ、そうなんです。介護福祉士をしているので、お年寄りのことの相談なら、任せてくださいね。ご家族はいらっしゃる？,0,0
0,PP100.txt,11,A: そうですか！高齢の両親がいるので、ぜひ何かありましたら、ご相談させていただきますね。,0,1
0,PP100.txt,12,B: ええ、遠慮なく何でも聞いてください！,0,0
