Timestamp,年齢,性別,対話1におけるあなた（Cさん）の発言を入力してください．,対話1においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話1において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話2におけるあなた（Cさん）の発言を入力してください．,対話2においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話2において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話3におけるあなた（Cさん）の発言を入力してください．,対話3においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話3において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話4におけるあなた（Cさん）の発言を入力してください．,対話4においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話4において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話5におけるあなた（Cさん）の発言を入力してください．,対話5においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話5において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話6におけるあなた（Cさん）の発言を入力してください．,対話6においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話6において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話7におけるあなた（Cさん）の発言を入力してください．,対話7においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話7において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話8におけるあなた（Cさん）の発言を入力してください．,対話8においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話8において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話9におけるあなた（Cさん）の発言を入力してください．,対話9においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話9において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話10におけるあなた（Cさん）の発言を入力してください．,対話10においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話10において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,
9/4/2023 22:00:55,34,女,理想が高いけど分かるなぁ～。,7,0,好きなものがあるのは良いことだと思います。早くコロナがあけると良いね。,10,8,規則正しい生活って素敵。,3,3,くせ毛朝大変だよね。牛タンは私も大好き！,0,6,わたしも全然そんなことないと思うよ！,10,10,もうちょっとソフトに突っ込んでくれたら嬉しいね。,8,6,頭を使ったり、身体を動かすのって凄く良いですね。,3,5,雨はわたしも好きじゃないです。でも、アニメは好きです。,10,10,派遣だとそうだよね、わたしも愚痴くらいならいくらでも聞くからね。,9,4,株の知識をお持ちなんて、凄いですね！,0,7,
9/4/2023 22:13:31,48,男,いいんじゃない。理想は高く持った方が良いのだから,4,5,海外に行けなくても知識を広げる方法はあるのだから古本屋巡りみたいに身近で楽しめることを求めてみたらよいのでは。,6,7,なんだかんだ言って2人とも楽しく過ごしていたみたいですね,6,3,結構充実しているみたいだからくせ毛なんて気にしなくても良いのでは。それじゃあ牛タンのお店に連れって,5,6,自分で鈍感だと思っているなら鈍感ではないでしょう。個性と思ってもっと明るく過ごしてみたら,3,4,私もその彼の対応は悪くないと思うよ,1,2,趣味の話題で盛り上がるのって楽しいですね。2人ともうらやましいです,2,4,良い作品も多いですからアニメを見て過ごせるなんて羨ましいです,5,6,何とか上司の方に注意してもらえないのかな。職場環境の改善は大事ですよ。,6,1,投資は若い時から始めた方が後々役に立つから、私もしてみたいです。,5,7,難しい設問でしたが、面白みがある内容でした。
9/4/2023 22:14:11,46,男,相手の性格とかは気にしないのかな？,1,4,やっぱり自分がやりたいことをやるのが一番だよね,2,3,Bさんは真面目に学校の勉強を頑張ってたんだね。,2,0,Aさんのくせ毛も可愛いし、またBさんの提案したお店に行ってみたい。,1,3,学歴なんて全然関係ないと思うよ。,5,4,きっと彼は軽い冗談でツッコんだだけだよ。,2,0,ボルタリングをすればBさんの体も筋肉が付くかもしれませんよ。,5,2,雨の日が降った日は、家でゆっくりアニメを見るなんて最高ですね。,3,2,職場がタバコ臭いなんて言えないでしょうね。やっぱり我慢して大人しくするしかないのかな。,4,1,イヤイヤお酒を飲むくらいなら、ネットで株取引してるほうが時間を有効に使えますね。,2,6,AIに補助してもらいましたが、実際にはなかなか難しかったです。
9/4/2023 22:24:23,53,女,あまり考えたことがないなあ。,1,3,確かに本屋の紙の匂いは懐かしい感じがするね。私も好きです。,5,4,スポーツ万能なんですね。,4,0,髪型は素敵ですよ。退社後も同僚の方々と頻繁に食事会なんてうらやましいな。,0,0,自分が思っているほどには周りの人たちは気にしていないんじゃないかな。,3,6,彼氏のツッコミ鋭いね。,0,1,株取引もボルダリングも素晴らしい趣味ですね。,0,2,雨の日も有意義に過ごせますね。,0,0,怖い先輩が多いと大変だね。,3,2,難しそうなのにすごいですね。今度教えてください。,3,5,
9/4/2023 22:26:16,55,女,私も憧れるけど、身近には居ないよな。,6,5,私も家が大好きだからホームステイは全然、苦じゃないし、本が好きだから読む時間が増えて嬉しいくらいだよ。　,8,8,Bさんって、学生のころからかっこよかったんだね。,6,5,私もくせ毛だから良く分かる。そうそう、牛タンって私、食べた事ないんだ。,5,6,そうだよ。全然そんなことないよ。気にしすぎだよ。,8,8,不愉快にさせるツッコミは、ツッコミじゃないと思う。,3,3,株取引もボルダリングも私には縁のない事だなぁ。,5,5,アニメは、良く分からないのですが、そんなに楽しいですか。,2,3,言いたくても言えないよね本音は。,7,5,株かぁ。私も勉強しようかな。,6,6,結構、難しいかったです。
9/4/2023 22:33:51,45,男,理想なんだから、それでいいんじゃない？,7,6,私はネット通販とオンラインで十分楽しめるインドア派だから2人よりはマシかな,6,6,帰宅部でリア充って、うらやましい,2,0,あるある！,1,0,気にし過ぎだね,7,7,さらっと流されるよりマシじゃない。知らんけど,3,1,2人とも趣味が本気過ぎる。,3,1,アニメとか見だすと、時間を忘れてついつい見ちゃいますよね,2,2,最近は出会い系アプリかな。相手が全然知らない他人だから職場の愚痴も言いやすいし,4,4,実は私もちょっとだけ興味あります,0,1,会話の重要な部分を聞き逃した状態だと、AIの補足だけでは会話の流れや繋がりが掴めなくて、あてずっぽうで的外れな回答になってしまいました
9/4/2023 22:44:27,48,女,あんな天才は世界中を探しても、そんなにいないよ。,6,6,Aさんは海外旅行に行けなくて辛いようですね。Bさんは本の匂いを懐かしく感じるのですね。,4,5,早寝早起きをモットーにして、新聞配達の仕事をしていたBさんは、真面目な頑張り屋さんですね。,7,5,くせ毛の手入れは大変そうですね。牛タンのお店については、聞き取れなかったのでわかりません。,2,1,高校を中退したことが、トラウマになっているのでしょうか？,3,4,結構きついツッコミをしたのかな？,3,4,株取引をやるのは頭を使うので、ボルダリングとかに向いていそうですね。,3,1,聖地巡礼をするほど、アニメが好きなのですね。,2,4,超たばこ臭い人がいて、かなり辛そう。,4,5,話を聞き逃したので、よく分かりません。,1,1,
9/4/2023 23:17:59,51,男,あまりに高学歴やエリートだと私には不釣り合いに感じます。,7,2,それぞれに自分の好きな世界を楽しむことができてどちらも魅力的な趣味だと思います。,8,7,焼き芋が彼（彼女）との思い出なんですね。,3,0,くせ毛も見る人によってはポジティブ要素になるんだね。牛タン食べてさらにポジティブにいこう。,4,5,すでにこの発言で不快感などみじんも感じませんよ。安心してください。,8,4,なかなか歯に衣着せぬ発言ですね。本音で語り合うことができるなんて・・・おノロケ？,7,2,お互いに趣味に燃えてていいですね。,8,3,お二人のよくご覧になる作品はなんですか？やっぱり雨や水にまつわるものが多いんですか？,4,3,禁煙所すら見つけるのが大変なこのご時世にタバコ臭いとはちょっとね。自分ならその注意した人に加担しちゃうな。,6,1,株取引はお酒を飲まなくてもできるので共通の趣味にするには最高です。,5,2,
9/4/2023 23:27:36,32,女,素敵な人だし良いんじゃないかな。,7,6,好きなことがあると生活への活力がわくよね。,8,7,かっこよくて良いなあ。,6,6,くせ毛の扱いは本当に大変そう。牛タンのお店行ってみたいな。,3,2,考えすぎだと思うけどなあ。,3,9,面白くて良いと思けどな。,6,5,株取引なんてすごいなあ。ボルダリングは難しそうだけど楽しそう。,8,8,雨の日も楽しめる趣味が合って良いですね。,9,9,居心地の悪さは感じてしまうよね。,2,7,株取引なんてすごいですね。,2,5,
9/5/2023 0:11:49,33,女,確かにそういった職業の方はかっこいいですよね。,3,9,お気に入りの趣味や場所があるのはいいことですね。,9,7,帰宅部だったならば、自由な時間がたくさんありそうですね。,0,4,くせ毛はトレードマークにもなると認識できました。牛タンなお店については、よく分かりません。,1,4,誰かに言われたわけでなければ、考えすぎだと思います。,10,8,ツッコミについては、よく分かりません。,0,0,それぞれ趣味があるのは良いことだと思います。,9,8,アニメを見るのはいい気分転換になるので、良い時間の過ごし方だと思います。,10,9,少し不快な思いをすることもあるかもしれないですね。,6,5,取引がうまくいくといいですね。,8,3,これまでに体験したことのないタイプの実験で興味深かったです。
