Timestamp,年齢,性別,対話1におけるあなた（Cさん）の発言を入力してください．,対話1においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話1において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話2におけるあなた（Cさん）の発言を入力してください．,対話2においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話2において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話3におけるあなた（Cさん）の発言を入力してください．,対話3においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話3において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話4におけるあなた（Cさん）の発言を入力してください．,対話4においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話4において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話5におけるあなた（Cさん）の発言を入力してください．,対話5においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話5において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話6におけるあなた（Cさん）の発言を入力してください．,対話6においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話6において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話7におけるあなた（Cさん）の発言を入力してください．,対話7においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話7において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話8におけるあなた（Cさん）の発言を入力してください．,対話8においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話8において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話9におけるあなた（Cさん）の発言を入力してください．,対話9においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話9において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話10におけるあなた（Cさん）の発言を入力してください．,対話10においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話10において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,
9/4/2023 22:06:30,24,女,二人とも活動的で良いですね,2,4,二人とも似たもの同士かもね,1,0,二人とも良い人生を歩めると良いですね,5,6,これで怖く無くなって安心だね,6,5,私も見に行きたいです,9,9,本当に面白いね,2,1,エイプリルフールもたまにはいいものですね,5,4,私も一緒に行きたいな,8,10,やはり食べ物は関係あるんですかね,1,1,やはり趣味に勝るものはありませんね,2,8,
9/4/2023 22:07:00,26,女,二人の仕事は似ていますが、趣味はバラバラですね。一緒に運動をするのは良いですね,7,5,失恋しなのか聞かれたんですね,2,9,おめでたいですね。涼しい場所で働けるのも良いですね,7,5,暗くなると怖いよね,7,2,見てみたいです,6,4,面白いですね,1,7,覚えやすくていいですね,4,9,いいですね。食べたいです。,7,8,食べますよ。,4,5,気分転換はとても大切ですね,7,5,
9/4/2023 22:10:44,32歳,女,お二人とも忙しいのに趣味や運動に意欲的で素晴らしいと思います。,4,5,2人とも気が強そうだなと思いました。,0,0,2人とも幸せに向かって歩んでいっているようでいいなと思いました。,4,2,まだ中学生なのだから当然だと思います。,2,1,見てみたいですし、私も教えてもらいたいです。,7,5,ユニークで面白いなと思います。,3,1,珍しいなと思います。,0,1,面白い流れだなと思いました。,0,0,楽しい回答を期待します。,0,0,2人とも趣味を通して明るく生きていこうとしているように感じました。,2,5,
9/4/2023 22:30:32,,男,社会的に貢献できる仕事で素晴らしい。趣味もアクティブなものが良いですよね。,6,5,Aさんはかなりの負けず嫌いですよね。Bさんはどんな理由なんですかね。,5,6,Bさんには良い夫婦関係を築いて欲しいですね。Aさんには仕事環境が第一なのは良い選択だと思います。,4,6,Bさんの年頃なら寄り道しての帰り道は怖いですよね。,7,6,Bさんのダンス、是非見てみたいですね。,6,7,Bさんの自虐ネタは強烈ですよね。,5,7,エイプリルフールは覚えられやすいのでアピールポイントですよね。,6,7,いいですね。名古屋飯はみそ味が癖になりますよね。,5,3,現地の人は意外に名産を食べないことも多いですね。,4,2,趣味は一生ものですから、気分転換の趣味があったことは救いですね。,6,7,
9/4/2023 22:45:18,26,男,仕事について頑張ろうとしているのがいいですね,4,6,髪が短いとかいうので失恋と感じるのは古いよね。,2,4,夫婦の良さが伝わりますね、頑張ってほしいです。,6,6,一緒に付き添ってあげようか。,4,1,ぜひ参加したいなと思います。,7,7,やっぱり面白いなあ。,6,7,嘘みたいな髪型でも面白いかもしれませんね。,2,3,私も食べたいなあ。,6,8,エビを食べるのがよいかなと思います。,6,3,それはおめでたいですね。辛いこともあれば楽しいこともある、それが人生です。,4,5,
9/4/2023 23:15:55,56,女,お仕事忙しそうですけど、ちゃんとプライベートも充実させてていいですね。,7,7,似合うとは思うけど、失恋したの？,9,8,ご結婚おめでとうございます。希望のお仕事もできて素敵な毎日ですね。,9,8,慣れない場所では、特に遅い時間は怖いですよね。,3,4,私は苦手なので、上手な人のダンス、ぜひ見たいです！,9,4,香川県は、ポジティブな人が多いよね。,6,4,あっ！それは覚えやすいですね。たぶんずっと忘れないですよ。,9,9,ご飯なら一緒でも目を見なくていいんじゃない？今度何か食べに行こうよ！,7,4,そうですね、よく食べますよ。普通に味噌汁に入っていたりしますね。,7,0,好きなことに没頭すると、嫌なこともすぐに忘れちゃいますよね。お子さんの誕生、楽しみですね。,7,1,
9/4/2023 23:19:48,29,女,お互いに趣味や仕事が違っても、運動という一つの目標に向かって頑張れるのはいいことですね。,1,0,自分も負けず嫌いなところがあるのでAさんと少し似てますね。Bさんは髪を切って気分転換ですね！,3,2,念願のお仕事にも就けて、結婚はおめでたいですね。,6,6,土地に慣れるまではちょっとした帰り道でも怖く感じてしまいますよね。,3,0,私もダンスはあまり得意ではないので、Bさんの披露してくれるダンスを楽しみにしています。,8,10,近畿のような都心から離れた場所でも、白髪をそのまんま放置しておくのは苦手なんですね。,0,0,その日が誕生日だと言っても、エイプリルフールのネタだと思われてしまうのは複雑ですね。,6,9,名古屋めしは美味しいですし、みんなで食べれば美味しさも倍増ですよ。,8,4,地元の名産品ほど、現地の人ってあまり食べる機会が少ないんですよね。,0,0,趣味を通じてモヤモヤした気持ちを発散するのは、非常に良いことだと思いますよ。,6,8,会話から推測して内容を考えるのはやや難しかったが、面白かった。
9/5/2023 0:19:25,36,女,Aさんは運動が苦手とのことなので、Bさんに誘ってもらえて、何か体を動かすことができるからいいチャンスですね。,6,3,自分が疲れてしまうから治せるならその性格は治した方がよさそうですね。それに髪を切っただけでそんなこと言われるなんて、めんどうですね。,10,10,Bさんは私生活がとても充実していますね。Aさんにコンビニの仕事が合っているようでよかったです。,8,9,私も夜遅くだったら帰り道はちょっと怖いですね。,3,8,是非見てみたいと思います。,4,7,白い脳みそはうどんということはBさんは四国の方なんですね。,0,0,人に覚えてもらいやすくていいと思います。,1,6,Aさんは乗り気そうなので、いいと思います。,0,2,はい、伊勢えびは子供の時からよく食べますよ。,7,0,無趣味だとストレスがたまりそうだから、二人とも趣味があるので、いいなと思います。,5,1,結構考えました。予想できないものが多かったです。
9/5/2023 0:45:47,42,男,Aさん、Bさん、お仕事大変そうですね。運動は私もAさん同様に苦手です。私の趣味はゲームです。,3,3,負けず嫌いがポジティブな方向に向かうといいね。ショート、似合っているよ。,4,8,キャビンアテンダントは華やかな職場で羨ましい。11月22日、いい夫婦の日の名前通り、末永くお幸せに。コンビニは忙しそうで大変ですね。,3,8,私も帰り道が、暗かったりしたら怖い。,7,6,ぜひ、見てみたいです。,9,6,地元に愛着がある証拠だよ。,8,2,誕生日が憶えやすくていいですね。,4,9,私も一緒に名古屋めしを食べたい,8,3,伊勢エビが新鮮で、お手頃価格でよく食べれるという回答を期待しています。,6,4,趣味によって気分転換ができて良かったですね。私の趣味はボーリングです。,6,8,欠けた対話を想像しながら、楽しく回答できました
9/5/2023 2:15:53,22,女,AさんBさんどちらも素敵な趣味を持たれていて羨ましいです。私も運動することが好きなので、もしよければ一緒に運動したいです。,7,9,それぞれの個性があっていいと思う。けれど貯金をしたいなら、計画的にお金を使う必要があるよね。,9,10,みなさん自分の性格にあったり、やりたいことを仕事にされていてとてもいいことがと思います。,5,10,普段インドア派のAさんなのに、Bさんのために行動してくれるなんて優しい人なんだね。私にもできることあったら、連絡してね。,9,7,私もB３の踊り是非みてみたいです。,7,7,Bさん、地理は苦手そうだけど、地元のことは大好きなんだね。,3,7,誕生日は本人が決められるものではないので、そう悪く考えなうでくださいね。,6,3,羨ましい、私も参加したいです。,6,9,人によると思います。私はあまり食べない方ですね。,7,8,気分転換することはいいことですよね。,7,7,ありがとうございました、とても興味深かったです。
