Timestamp,年齢,性別,対話1におけるあなた（Cさん）の発言を入力してください．,対話1においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話1において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話2におけるあなた（Cさん）の発言を入力してください．,対話2においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話2において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話3におけるあなた（Cさん）の発言を入力してください．,対話3においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話3において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話4におけるあなた（Cさん）の発言を入力してください．,対話4においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話4において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話5におけるあなた（Cさん）の発言を入力してください．,対話5においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話5において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話6におけるあなた（Cさん）の発言を入力してください．,対話6においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話6において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話7におけるあなた（Cさん）の発言を入力してください．,対話7においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話7において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話8におけるあなた（Cさん）の発言を入力してください．,対話8においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話8において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話9におけるあなた（Cさん）の発言を入力してください．,対話9においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話9において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話10におけるあなた（Cさん）の発言を入力してください．,対話10においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話10において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,
9/4/2023 22:03:13,41,女,地元の名産品は美味しいですね。津餃子いつか食べてみたいです。,4,3,夢中になれる趣味を持つことは良いことですよね。,3,7,すぐに人と打ち解けられて羨ましいです。,1,5,そうですよ！地元が一番です。,1,6,団地の生活知りたいです！,1,3,くせ毛を生かした髪型見つけたいな。牛タン大好き。,2,3,不倫調査とかしてるのかと思った！,2,4,そういう性格の人っているよね。,2,4,仏門ってなに？給料があまりにも不満なら転職しちゃえ。,1,1,出自に関して文句言われてるみたいで嫌だな。,1,1,答えにくい質問でした
9/4/2023 22:12:21,42,男,地元でも高級品は食べにくいですよね。津餃子はまだ食べたことありません。,3,7,辛い時は趣味に没頭するのがいいのかもしれませんね。悩みを忘れるぐらいに。,8,9,O型の人はおっとりしてるけど、Aさんは違う感じみたいですね。,2,4,都会より地元の方が仕事が安定するかもしれませんね。,9,2,団地などの集合住宅は騒音問題がありますから私は苦手ですね。,3,1,くせ毛も個性なので印象に残っていいかもしれませんね。私も牛タンの美味しいお店に行ってみたいです。,9,10,私もペットが迷子になったらBさんにお願いしてみようかな。,10,10,ストレスをためて会社勤めするより起業してストレスなく働けた方がいいですよね。,6,7,お給料が安いとモチベーションが下がりますよね。宗教とは無縁の生活なので私とはあまり関わりがないかな？,3,6,うまくいってないなら別れることも考えたほうがいいかもしれませんね。,1,1,AIの発言がなければ中々推測しにくい会話が多かったので役には立ったと思います。
9/4/2023 22:14:34,38,男,地元の人の考え方が面白いと思いました。津餃子は美味しそうなので食べてみたいです。,5,3,打ち込める趣味ができたのは良い事だと思います。,8,9,世間一般のO型のイメージ通りの性格だと思います。,3,2,愛着がある地元が一番と感じるのは、私もよく分かります。,7,8,人付き合いが少し大変そうだと思いました。,8,9,Aさんのくせ毛は個性が感じられて好感がもてます。　Bさんの牛タンのお店は美味しそうなので、私も行ってみたいです。,4,3,大変そうですが、困っている飼い主とペットを助ける良い職業だと思います。,5,3,そんなことないと思います。,0,5,Bさんは転職等も視野に入れると良いと思いました。　Aさんが仏門に入った事は知らない世界なので、漠然と大変そうだと思いました。,2,1,ちょっと言い方が酷いと思いました。,4,0,
9/4/2023 22:15:09,48,女,他餃子は美味しそうですね。いろんな地方の名産品を知るのは楽しいですね。,7,3,釣りは楽しいですよね。私も久しぶりに行きたくなりました。,2,8,でもO型って本当におおらかな人が多いよね,0,1,やっぱり地元が一番ですよね。,7,6,私も団地住まいですが、便利で悪くないですよ。,9,9,牛タンいいね！楽しみだよ,5,10,探偵なんて憧れてしまいますね。私は普通の会社員です。,9,9,どうしても揉めることってありますよね。,3,6,私は煩悩まみれだから、見習わないとなあ。仕事は会社員をしています。,6,3,そんなこと言うんだ。ひどいねー。,8,7,
9/4/2023 23:09:41,45,男,地元の名産以外にもおいしい食べ物はあると思います。津餃子は食べたことがないのでわかりません,5,0,釣りをすることで気分が変わるといいですね,5,7,大雑把な人だと思います,7,0,就職をするだけなら都会に出る必要はないと思います,6,0,周りの人と仲良くできる環境なら団地暮らしも良いですね,1,6,くせ毛は直せる藻じゃないから気にしない方がいい。牛タンは美味しいからぜひ行きたいです,8,8,相手の私生活を探る仕事だから怨まれることが多そうですね。ペット探しの時は依頼したいです,4,4,自他ともに評価が厳しいんですね。周りの意見も聞いてあげるといいですよ。,8,7,お坊さんも仕事は大変ですね,6,6,関西弁をしゃべる男性を探したらいいんじゃない,8,2,
9/4/2023 23:12:16,57,女,地元に名産があるのは羨ましいです。津餃子は知らなかったので食べてみたいです。,9,1,趣味を持たれてリフレッシュされるのは良い事です。,10,8,とても社交的で羨ましい限りです。はっきりされていて素敵です。,10,8,地元の良さは離れて見て再確認ができるものなのでしょうね。,7,8,団地生活を快適にするための工夫をされているのでしょうか。,9,2,くせ毛はとても大変だけれど個性があっていいとも取れるので悩まないで。牛タンのお店お供したい。,10,1,探偵業って大変そう。迷子になったペットはどんな種類の動物でもひきうけるのか知りたい。,9,3,自分の性格を理解しているといえるのだから変える事もできそう。,10,7,月給が安くても健康でいられることが一番。仏門に入る為の勉強は大変だったのでは。,10,7,関西弁の良さがわかるまで付き合うべき。,10,5,AIの発話誘導が的確で安心できるシステムだと感じました。
9/4/2023 23:16:48,34,男,美味しそうですね。いつか行ったら食べてみたいです。,4,1,釣りはいいですね。周りに左右されず、自分のペースで進められるので。,4,2,大雑把なところがあると思いますね。,5,4,地元を1番に感じることは良いことですし、何も悪くないですよ。,5,5,快適だと思いますよ。,6,7,くせ毛は個性として捉えてポジティブにいきましょう。牛タンの店で良いですね。,6,6,会社を興したことは素晴らしいことだと思います。ペットは自分の家族ですからね。何かあったら大変ですから、探偵さんに頼む方が得策です。,5,6,企業のような組織で共同で働くのはキツいと感じました。,7,5,地道にコツコツ頑張れば、明るい将来が待っていると思います。自分のやりたい天職であるといいですね。,6,6,ひどい話だと思います。,7,6,
9/4/2023 23:25:48,56,男,B級グルメで有名な物もあるので、例えば津餃子とかはよく口にします。,7,5,気分転換は大事ですね。誰かに話を聞いてもらうだけで気が晴れると思います。,8,0,面白くないけど、O型は正解。O型は鈍感だからね。,6,0,いえ、都会への憧れです。それ以外に目的が無いならば、都会へ出たら大変かもしれませんよ。,3,0,ステーキはご馳走ですね。私は団地に住んでいるので、そのような高級な食材を滅多に口にできません。団地は気苦労が多くないですか。,3,8,本当に？美味しい牛タンのお店を知っているけど行かない？くせ毛についても相談しよう。,4,5,なかなか大変です。迷子になったペット探しをする探偵です。やりがいがあります。,7,2,何度も転職された訳は何かあるのですか。相手を口撃して敵を作ってしまうのです。,2,0,そうなんですか。私は仏門に入っておりますので、お話を聞きましょうか。仏門に入られて長いのですか。,1,2,学歴は気にしなくていいのでは。幸せならばいいじゃない。,0,0,難しいです。
9/4/2023 23:39:33,49,女,私も津餃子食べてみたいです。,9,8,私も気分転換できる趣味を作ろうかな。,8,9,私は大らかな性格は好きですよ。,3,5,やっぱり産まれたところのご飯が一番かもしれないですね。,4,1,いま団地がまた良いって話を聞きますね。,5,3,私も癖毛で大変なのよ。牛タン私も行きたい！,7,9,実力がものをいう仕事ですね、すごいと思います。,8,9,私もキツイとは思わないけどなぁ。さっぱりしていて良いと思うよ、,8,9,給料かぁ、転職もありって考えてるのかな？仏門では給料って出るの？,7,8,人には良いところも悪いところもあるからなぁ。,4,0,
9/5/2023 0:13:32,37歳,男,"地元にはまだ知らない名産品があると思いました。
私も津餃子について興味あります。",2,6,好きなことに打ち込むこと良いと思います。,7,8,ほんとうに明るい性格だと思います。,7,8,私もAさんと同意見です。,6,7,友人ができたら団地生活も楽しいと思います。,5,6,Aさんも毎日大変だと思います。Bさんのご提案の牛タンのお店に私も行ってみたいです。,5,6,探偵の方には今まで会ったことがないのでとても興味深いです。万が一のときは、私もペット探しを依頼したいです。,7,8,会社で働くのは難しいだと思いました。,5,6,Bさんには同情します。Aさんの普段の仕事内容について知りたいです。,7,8,Aさんの彼氏も言い過ぎだと思います。,7,8,
