Timestamp,年齢,性別,対話1におけるあなた（Cさん）の発言を入力してください．,対話1においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話1において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話2におけるあなた（Cさん）の発言を入力してください．,対話2においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話2において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話3におけるあなた（Cさん）の発言を入力してください．,対話3においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話3において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話4におけるあなた（Cさん）の発言を入力してください．,対話4においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話4において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話5におけるあなた（Cさん）の発言を入力してください．,対話5においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話5において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話6におけるあなた（Cさん）の発言を入力してください．,対話6においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話6において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話7におけるあなた（Cさん）の発言を入力してください．,対話7においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話7において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話8におけるあなた（Cさん）の発言を入力してください．,対話8においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話8において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話9におけるあなた（Cさん）の発言を入力してください．,対話9においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話9において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話10におけるあなた（Cさん）の発言を入力してください．,対話10においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話10において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,
9/4/2023 22:00:09,34,女,宝塚って華やかでとても良いなと思いますね。,7,7,DINKSにもメリットデメリットがあると思うので難しい問題ですよね。,3,3,確かに大晦日とかの大きなイベントと誕生日が重なるとなあなあにされたりしますよね。,5,8,私は東北地方には住んだことも行ったこともなくてとても興味がありますね。,7,7,アウトドアに出かけたりするのもいいよね。,4,2,友達に似合う服を探すのってなかなか難しいよね。,5,7,人を喜ばせるのが好きな2人にピッタリだね,7,7,美味しそうなハヤシライスが食べられるのはいい機会ですね,4,7,旅行のことはプロに相談するのがいいですもんね,8,8,神頼みをするか努力をするか選ぶのってなかなか難しいよね,2,3,
9/4/2023 22:00:42,36,男,えっあっいいと思いますよ,1,2,まあ普通じゃないかな,2,5,とても良いことではないですか,1,0,寒さに強そうな印象です,1,6,独自の判断で良いと思います,1,5,素敵で良いと思います,7,6,とても良いと思います,6,7,興味ないですね,9,9,自由に決めたら良いと思います,10,6,どうでもよいと考えます,10,8,
9/4/2023 22:11:41,45,男,宝塚は素敵な劇団ですし、熱中できるものがあるのは良い事です。,9,8,私は知らない言葉でした。物知りですね。,3,9,実は私も誕生日が１２月でクリスマスと一緒にされました。ちょっと悲しいですよね。,5,6,同じ東北出身なら気があいそうですね。,1,6,活動的なのは良い事ですね。,0,3,Aさんに似合う服選びですか、私もご一緒したいです。,6,2,二人がくんだらとても良いものができそうです。素敵なチームですね。,8,2,ハヤシライス専門店、私も興味あるので一緒に行っていいですか。,7,5,私が旅行するときにも相談させてもらいますね。夢を追うのは素敵です。消防士、応援します。,9,8,神に頼らなくてもいいんです。自分の力で理想の自分になりましょうよ。,2,0,どうしても無難な答えになってしまいますね。難しいです。
9/4/2023 22:12:15,37,女,私も1回観に行ったことがあります。とても美しいですよね。,8,8,それもひとつの家族の形ですよね。家族で仲がいいことが1番ですよね。,7,8,それは悲しいですよね..。クリスマス生まれの友人も同じことを言っていました。,2,7,東北には行ったことがないのですが、一度行ってみたいです。どこかおすすめの観光地はありますか？,6,7,翻訳の仕事なんてすごいですね。私もどちらかというとインドア派ですが、海外旅行も憧れます。,7,4,服はお金かけだしたらきりがないよね..。ついつい買いすぎちゃう。,6,3,とてもいい考えだね。2人ともかっこいいなぁ。,8,8,ハヤシライス専門店いいですね。専門店の味を味わってみたいです。,3,7,お二人とも目標があり素晴らしいですね。私も頑張らないとと思いました。,3,8,ゆっくり食事をすることはいいことだと言いますもんね。努力し続けることも忍耐が必要ですものね。,3,2,ありがとうございました。
9/4/2023 22:18:05,39,女,宝塚も声を出すので、観ているだけでも暖まりますね,3,1,ごめんなさい。DINKsについて詳しく知らなくて,5,7,最近のAIはすごいですね！Aさん,7,3,私が無知なのか、標準語で会話なされるのですね。おふたりとも,2,0,私もAさんと同じタイプなので、逆にアクティブなＢさんがすごいですよ,6,2,Bさんのアドバイスを参考に、自分で決めたら良いと思うよ！ゴスロリもありだよね,8,5,私も二人の事業、上手くいくと思うなぁ,7,5,私も宗教についてや、Bさんのアルバイト先のハヤシライス、食べてみたいなぁ,6,7,コロナ禍も終息しつつありますし、Bさんほ忙しくなりそうですね。Aさんもご立派な道に進まれて、私も負けていられません,7,1,Aさんが神を信じるか信じないかは関係ないと思いますよ(笑)神頼みしないのであればご自身で努力なされては？,8,7,楽しく回答出来ました。
9/4/2023 22:28:40,61,男,宝塚は魅力がありますから熱中してしまう気持ちもよくわかります。,3,4,詳しくてよく勉強していますね。,5,7,自分もそういうことに興味があるのでよく分かりますし、誕生日は誕生日で祝ってもらいたいですね。,4,6,同じ地域の出身であれば気が合いそうですね。,5,8,アクティブに行動していて羨ましいです。,3,1,ファッションに詳しい人に選んでもらえるのは良かったね。,5,2,お互いの仕事に関連性があるからすごくいいことなんじゃないかな。,7,8,それぞれやりがいがあるし楽しそうで羨ましいです。,6,5,二人共やりたいことがあって、気持ちが充実していて素晴らしですね。,4,8,あまり神には関係ないと思いますが、人それぞれの考え方があるから良いと思います。,6,3,
9/4/2023 22:36:29,28,女,わかります。1度観劇したらすっかり夢中になってしまいそうです。,6,5,私も同じ認識です。,4,9,私も占ってもらいたいです。大晦日が誕生日の人に初めて出会いました。,2,6,2人とも東北出身なんですね。私も訪れてみたいなあ。,0,3,有意義な休日を送っているんですね。私も見習わないと。,6,7,ゴスロリが似合うなんて羨ましい！Aさんはどんな系統が似合うのかな？,1,0,最高のアイディアね！人気になること間違いないわ。,4,4,私もハヤシライスが好きなのでいつか食べにいきたいです！,0,0,お二人ともご立派で尊敬します。私も頑張らないと！,3,5,Bさんはダイエットの神様ですね。Aさん、一緒にダイエット頑張りましょう！,3,2,
9/4/2023 23:07:49,53,男,良いことだと思いますよ,9,8,価値観は人それぞれだと思います,7,7,お気の毒だと思います,9,5,羨ましです,4,6,良いと思いますよ,4,4,いいな～,4,2,大賛成です,9,8,やりたい事をするのは良いと思います,4,4,素晴らしいと思います,10,8,ちょっと分からないです,0,2,
9/4/2023 23:18:56,56,女,宝塚ってステージが華やかで、見ているだけでワクワクしますよね。,7,2,子供を持たない主義というよりも、昨今は経済的な理由で欲しくても持てないケースも多いのではないでしょうか。,3,9,大晦日が誕生日なんて、ちょっと羨ましいような気もしますけど。,1,2,東北地方にはいろいろな見どころがありそうですね。,3,4,休日にアクティブに行動されてるなんてすごいです。,3,1,私はファッションに疎いので、服のコーデができる人が羨ましいです。,2,2,他にはないようなとてもユニークな新婚旅行のプランができそうで楽しみです。,5,4,お二人とも自分らしい生き方をされていて感心します。,4,0,お二人とも堅実に人生に取り組まれていて、感動しました。,1,5,確かにすべて神頼みだと、自分で努力しなくなるのかもしれませんね。,6,0,
9/5/2023 0:23:55,33歳,女,素敵な趣味ですね。宝塚は素晴らしいので熱中する気持ちも分かります。,7,7,確かに今は子供を持たない夫婦が増えてますよね。,7,7,占い面白そうですね。誕生日がながしろにされたのは残念ですね。,7,7,偶然ですが、これも何かの縁だと思います。,7,7,通訳のコツって何かありますか？私も海外に行ってみたいです。,6,5,ファッションに詳しんですね。選んでもらえるってうらやましいです。,7,4,相性抜群ですね。。お互いの長所が仕事に活かせますね。,8,8,仏門に入るって厳しそうなイメージです。私もぜひハヤシライスを食べてみたいです。,6,5,お互い夢があって目標に向かってい頑張っている熱意が伝わりました。,6,4,やはり神頼みだけは駄目なんですね。努力して初めて結果が残せるのだと分かりました。,2,5,難しい設問が多く、回答に悩みました。
